Tag,Sheet,Simple name,Log Status,Description,SQL type,Units,Included,Verified 2014/03/18,Added 2014/04/18
AG_1407_FAULT,9005,fault_roto_feed,0,Roto-feed fault signal,BOOL,boolean,X,,
AG_1407_OP,9005,roto_feed_op,0,Roto-feed percentage speed output,DOUBLE,percent,X,,
AI_922021,9005,ai_lock_hopper_purge,0,Lock hopper purge O2,DOUBLE,,X,X,
AI_924501,9007,ai_gasifier_co_monitor,0,Gasifier area CO monitor,DOUBLE,,,X,
AI_924506,9008,ai_barrel_co_monitor,0,Barrel Area area CO monitor,DOUBLE,,,X,
AI_932050,9009,ai_outlet_moisture,0,Outlet moisture,DOUBLE,,X,X,
AI_932060,9009,ai_stack_moisture,0,Stack moisture,,,,,
AI_932504,9006,ai_boiler_co_monitor,0,Boiler area CO monitor,DOUBLE,,,X,
DPI_922019,9007,dp_feeder_inlet,0,Mac feeder/biomass inlet DP,DOUBLE,psi,X,X,
DPI_922021,9007,dp_gasifier,0,Gasifier DP,DOUBLE,psi,X,X,
DPI_922022,9007,dp_inlet_bell,0,Biomass inlet/bell housing DP,DOUBLE,psi,X,X,
DPI_932014,9008,dp_exit_quench,0,Reactor exit/quench vessel DP,DOUBLE,psi,X,X,
DPI_932015,9008,dp_quench_candle,0,Quench vessel/candle filter DP,DOUBLE,psi,X,X,
DPI_932070,9008,dp_quench_ako,0,Quench/ask KO DP,DOUBLE,psi,X,X,
DPI_932071,9008,dp_ako_ambient,0,Ash KO/ambient DP,DOUBLE,psi,X,X,
DPI_932302,9009,dp_bag_purge,0,Purge gas filter cross-bag DP,DOUBLE,psi,X,X,
DPI_936013,9009,dp_candle,0,Candle filter DP,DOUBLE,psi,,,
DPI_936014,9009,dp_quench_candle_hopper,0,Quench/candle filter hopper DP,DOUBLE,psi,X,X,
DPI_936015,9009,dp_candle_ko_ambient,0,Candle filter KO/ambient DP,DOUBLE,psi,X,X,
DPIT_922007,9003,dp_1403_1402,0,U-1403/V-1402 differential pressure,DOUBLE,psi,X,X,
E_STOP,,e_stop,1,E-Stop,BOOL,boolean,X,X,
FI_1423,9004,mass_flow_supply_4,0,Biomass feed lock hopper flowrate (supply 4),DOUBLE,,X,X,
FI_1445,9004,mass_flow_supply_5,0,Biomass feed lock hopper flowrate (supply 5),DOUBLE,,X,X,
FI_932006,9008,mass_flow_quench,0,Primary quench water flow,DOUBLE,,X,X,
FI_932036,9009,flow_coriolis,0,Outlet coriolis flowrate,DOUBLE,,X,X,
FIC_1442_OP,9004,mass_flow_entrainment_op,0,CO2 entrainment feed output,DOUBLE,percent,Maybe,X,
FIC_1442_PV,9004,mass_flow_entrainment,0,CO2 entrainment feed process value,DOUBLE,,Maybe,X,
FIC_1442_SP,9004,mass_flow_entrainment_sp,1,CO2 entrainment feed setpoint,DOUBLE,,X,X,
FIC_983006_OP,9006,mass_flow_steam_op,0,Steam control valve output,DOUBLE,percent,X,X,
FIC_983006_PV,9006,mass_flow_steam,0,Steam control valve flow,DOUBLE,,X,X,
FIC_983006_SP,9006,mass_flow_steam_sp,1,Steam control valve setpoint,DOUBLE,,X,X,
FIC_986009_OP,9006,mass_flow_superheater_op,0,Steam superheater purge flow output,DOUBLE,percent,X,X,
FIC_986009_PV,9006,mass_flow_superheater_purge,0,Steam superheater purge flow,DOUBLE,,X,X,
FIC_986009_SP,9006,mass_flow_superheater_purge_sp,1,Steam superheater purge flow controller setpoint,DOUBLE,,X,X,
FIC_989011_PV,9007,mass_flow_sweep,0,Sweep CO2 mass flow controller,DOUBLE,,X,X,
FIC_989011_SP,9007,mass_flow_sweep_sp,1,Sweep CO2 mass flow controller setpoint,DOUBLE,,X,X,
FIC_990014_PV,9007,mass_flow_argon,0,Argon mass flow controller,DOUBLE,,X,X,
FIC_990014_SP,9007,mass_flow_argon_sp,1,Argon mass flow controller setpoint,DOUBLE,,X,X,
HS_932018,9008,valve_ako_inlet_actuator,0,Ash KO inlet Spheri-valve actuator,BOOL,boolean,X,X,
HS_932025,9008,valve_ako_outlet_actuator,0,Ash KO outlet Spheri-valve actuator,BOOL,boolean,X,X,
LCV_932024,9008,valve_water_fill,1,Water tank 932T001A fill valve,BOOL,boolean,X,X,
LE_932004,9008,level_water,0,Water tank 932T001A level,DOUBLE,percent,X,X,
LSH_1405,9005,switch_level_water_high,1,V-1406 high level switch,BOOL,boolean,X,X,
LSH_932021,9008,switch_ako_level_high,1,Ash KO level switch high,BOOL,boolean,X,X,
LSL_1406,9005,switch_1406_low,1,V-1406 low level switch,BOOL,boolean,X,X,
PC_983001,9006,pressure_boiler_sp,1,Boiler pressure setpoint,DOUBLE,psig,Maybe,X,
PCV_1420_OP,9004,pressure_entrainment_op,0,CO2 entrainment pressure control valve output,DOUBLE,percent,X,X,
PCV_1420_PV,9004,pressure_entrainment,0,CO2 entrainment pressure control valve process value,DOUBLE,psig,X,X,
PCV_1420_SP,9004,pressure_entrainment_sp,1,CO2 entrainment pressure control valve setpoint,DOUBLE,psig,X,X,
PDI_1445,9004,dp_lock_hopper_injector,0,Lock hopper/injector differential pressure,DOUBLE,psi,X,X,
PI_1442,9004,pressure_roto_feed_injector_inlet,0,Roto-feed injector inlet pressure,DOUBLE,psig,X,X,
PI_1445,9004,pressure_lock_hopper_supply,0,Lock hopper supply pressure,DOUBLE,psig,X,X,
PI_326,9010,pressure_furnace_2,0,Furnace pressure 2 (Bloom),DOUBLE,psig,X,X,
PI_924502,9007,pressure_bell_housing,0,Bell housing pressure,DOUBLE,psig,X,X,
PI_924XXX,9010,pressure_furnace_1,0,Furnace pressure,DOUBLE,psig,X,X,
PI_932019,9008,pressure_ako,0,Ash KO vessel pressure,DOUBLE,psig,X,X,
PI_932042,9009,pressure_purge_gas_filter,0,Purge gas filter pressure,DOUBLE,psig,X,X,
PI_932057,9016,pressure_ms_inlet,0,MS inlet pressure,DOUBLE,psig,X,X,
PI_932503,9008,pressure_backup_quench_inlet,0,Backup quench inlet pressure,DOUBLE,psig,X,X,
PI_936010,9009,pressure_candle_filter_outlet,0,Candle filter outlet pressure,DOUBLE,psig,X,X,
PI_936012,9009,pressure_candle_filter_backpulse,0,Candle filter backpulse pressure,DOUBLE,psig,X,X,
PI_936052,9009,pressure_candle_filter_ko,0,Candle filter KO pressure,DOUBLE,psig,X,X,
PI_983003,9006,pressure_boiler,0,Boiler pressure,DOUBLE,psig,X,X,
PI_983005,9006,pressure_boiler_exit,0,Boiler exit pressure,DOUBLE,psig,X,X,
PIC_932005_OP,9008,pressure_quench_op,0,Primary quench pressure control valve output,DOUBLE,percent,X,X,
PIC_932005_PV,9008,pressure_quench,0,Primary quench pressure control valve process value,DOUBLE,psig,X,X,
PIC_932005_SP,9008,pressure_quench_sp,1,Primary quench pressure control valve setpoint,DOUBLE,psig,X,X,
PIC_932030_OP,9009,pressure_outlet_op,0,Outlet pressure controller output,DOUBLE,percent,X,X,
PIC_932030_PV,9009,pressure_outlet,0,Outlet pressure controller process value,DOUBLE,psig,X,X,
PIC_932030_SP,9009,pressure_outlet_sp,1,Outlet pressure controller setpoint,DOUBLE,psig,X,X,
PS_1404,9005,switch_bladder_1404_inflation,0,XV-1404 bladder inflation verification,BOOL,boolean,Maybe,X,
PS_1405,9005,switch_bladder_1405_inflation,0,XV-1405 bladder inflation verification,BOOL,boolean,Maybe,X,
PS_1406,9005,switch_bladder_lower_inflation,0,Lower spheri-valve bladder inflation verification,BOOL,boolean,Maybe,X,
PS_932044,9009,switch_bladder_purge_filter_inflation,0,Purge gas filter spheri-valve inflation verification,BOOL,boolean,X,X,
PSL_986611,9016,switch_ms_containment_pressure_low,0,MS containment box pressure switch low,BOOL,boolean,X,X,
PSL_986902,9015,switch_analyzer_containment_pressure_low,0,Analyzer containment box pressure switch low,BOOL,boolean,X,X,
PT_1406,9005,pressure_1405,0,V-1405 pressure,DOUBLE,psig,X,X,
PT_1450,9005,pressure_roto_feed_exit,0,Pressure at exit of Roto-Feed,DOUBLE,psig,X,,
